2.30,0.00
2.40,0.00
2.60,0.00
3.70,74.00
4.70,170.00
4.70,217.00
4.90,244.00
5.10,255.00
5.20,255.00
4.70,207.00
3.30,95.00
2.00,10.00
1.60,0.00
1.90,0.00
2.70,0.00
3.10,0.00
2.70,1.00
2.10,0.00
2.00,0.00
2.30,0.00
2.80,0.00
3.20,15.00
3.20,37.00
3.10,39.00
3.00,25.00
3.10,33.00
3.40,46.00
3.30,32.00
3.30,34.00
3.40,48.00
3.20,46.00
3.00,32.00
2.80,18.00
2.70,13.00
3.10,41.00
4.00,105.00
4.40,145.00
4.90,192.00
5.50,267.00
5.40,255.00
4.60,165.00
4.50,174.00
5.20,251.00
5.30,270.00
5.50,302.00
5.70,326.00
5.90,346.00
6.20,394.00
6.20,425.00
5.80,372.00
5.30,272.00
5.20,253.00
5.20,260.00
5.30,283.00
5.60,352.00
5.90,394.00
5.90,398.00
5.90,396.00
5.80,396.00
6.10,402.00
6.30,402.00
6.40,428.00
6.30,435.00
6.00,405.00
6.40,465.00
6.80,508.00
6.70,516.00
6.50,545.00
6.30,514.00
6.20,494.00
6.10,441.00
5.80,379.00
5.70,363.00
5.40,302.00
5.10,267.00
5.60,335.00
6.20,450.00
6.80,609.00
7.30,726.00
7.30,723.00
7.10,669.00
6.60,548.00
6.10,417.00
5.70,326.00
5.30,262.00
5.30,254.00
5.30,251.00
4.90,210.00
4.40,145.00
3.90,95.00
3.70,72.00
3.40,53.00
3.10,33.00
2.90,24.00
3.20,49.00
3.70,82.00
3.80,91.00
3.90,105.00
4.00,122.00
4.30,143.00
4.40,139.00
3.90,76.00
3.00,16.00
2.20,0.00
1.70,0.00
1.80,0.00
2.60,0.00
3.10,0.00
3.00,1.00
3.20,7.00
3.60,54.00
3.40,77.00
3.30,60.00
3.20,54.00
3.20,60.00
3.50,76.00
3.20,51.00
2.30,12.00
1.80,0.00
1.80,0.00
2.00,0.00
2.10,0.00
2.00,0.00
1.50,0.00
0.90,0.00
0.70,0.00
0.90,0.00
1.90,0.00
2.30,0.00
1.80,0.00
1.50,0.00
1.20,0.00
1.60,0.00
1.60,0.00
1.10,0.00
1.30,0.00
1.70,0.00
1.40,0.00
1.20,0.00
1.20,0.00
1.00,0.00
1.00,0.00
0.90,0.00
0.80,0.00
1.20,0.00
1.20,0.00
1.00,0.00
1.40,0.00
2.20,0.00
2.50,0.00
2.30,0.00
1.70,0.00
1.40,0.00
1.30,0.00
1.20,0.00
1.70,0.00
2.90,0.00
3.50,3.00
3.40,26.00
2.90,27.00
2.60,4.00
2.60,0.00
2.80,0.00
2.70,0.00
2.40,0.00
2.10,0.00
2.10,0.00
2.40,0.00
2.30,5.00
2.60,42.00
3.30,79.00
3.00,48.00
2.50,4.00
2.10,0.00
1.50,0.00
1.20,0.00
1.60,0.00
1.30,0.00
1.30,0.00
1.40,0.00
1.90,0.00
2.20,0.00
2.10,0.00
1.90,0.00
1.50,0.00
1.90,0.00
2.70,0.00
2.40,0.00
1.70,0.00
1.60,0.00
1.40,0.00
0.80,0.00
0.80,0.00
0.80,0.00
0.40,0.00
1.10,0.00
2.80,2.00
3.50,17.00
2.40,16.00
1.30,1.00
1.10,0.00
1.10,0.00
1.70,0.00
2.90,0.00
3.40,8.00
2.70,17.00
1.90,9.00
2.00,0.00
2.30,0.00
2.60,0.00
2.90,0.00
2.90,0.00
2.40,0.00
2.10,0.00
2.40,0.00
2.40,0.00
2.10,0.00
1.90,0.00
2.10,0.00
2.80,0.00
3.50,7.00
3.40,20.00
3.30,42.00
3.70,85.00
4.10,121.00
3.90,111.00
3.60,76.00
3.60,78.00
4.00,128.00
4.40,160.00
4.40,156.00
4.60,174.00
4.80,206.00
4.70,198.00
4.50,180.00
4.60,176.00
4.70,171.00
4.70,159.00
4.60,148.00
4.80,163.00
4.90,183.00
5.00,200.00
5.10,211.00
4.90,199.00
4.90,182.00
5.00,182.00
4.90,178.00
4.80,170.00
4.90,187.00
5.10,203.00
5.20,201.00
5.20,210.00
5.30,225.00
5.40,229.00
5.50,239.00
5.60,254.00
5.70,270.00
5.80,278.00
5.80,276.00
5.90,289.00
6.00,323.00
6.10,347.00
6.10,363.00
6.20,394.00
6.00,401.00
5.80,393.00
5.80,378.00
5.80,347.00
5.80,323.00
5.90,309.00
6.00,332.00
6.20,383.00
6.10,379.00
5.70,325.00
5.70,321.00
5.90,354.00
6.00,361.00
6.40,409.00
6.90,521.00
7.10,573.00
6.70,515.00
6.00,403.00
5.40,296.00
5.00,229.00
4.60,196.00
4.80,209.00
5.20,252.00
5.00,242.00
4.60,210.00
4.90,230.00
5.00,218.00
5.00,214.00
5.60,334.00
6.00,389.00
5.80,324.00
5.20,236.00
4.90,200.00
5.50,246.00
6.10,310.00
6.10,339.00
5.60,277.00
